VehicleID,LicensePlate,EntryDateTime,ExitDateTime,UserID,GateID,DriverID,VehicleTypeID,PermissionGranted,DivisionID
0,06ZDK89,1984-11-27 08:03:49,,1,1,1,,1,
0,06AL6421,2012-08-31 23:56:40,,1,1,1,,1,
0,06ZDK89,2034-09-29 00:45:38,,1,1,1,,1,
0,06ZDK89,2016-02-28 00:41:06,,1,1,1,,1,
0,06VE809,1988-01-17 08:50:42,,1,1,1,,1,
0,06ZDK89,2006-11-10 03:41:37,,1,1,1,,1,
0,06FVF80,1992-12-19 23:08:17,,1,1,1,,1,
0,06AL6421,2011-04-15 12:14:39,,1,1,1,,1,
0,06VE809,2034-02-04 19:51:48,,1,1,1,,1,
0,06ZDK89,2020-02-23 13:09:05,,1,1,1,,1,
0,06AL6421,1990-08-09 01:12:05,,1,1,1,,1,
0,06VE809,2034-01-26 11:47:54,,1,1,1,,1,
0,06FVF80,1986-06-05 17:35:46,,1,1,1,,1,
0,06AL6421,2009-05-21 11:49:27,,1,1,1,,1,
0,06ZDK89,2029-01-24 03:16:42,,1,1,1,,1,
0,06VE809,2027-01-18 19:10:02,,1,1,1,,1,
0,06VE809,2001-02-16 08:35:04,,1,1,1,,1,
0,06FVF80,2028-02-17 07:42:19,,1,1,1,,1,
0,06VE809,2019-03-14 02:19:04,,1,1,1,,1,
0,06AL6421,2006-02-03 08:27:41,,1,1,1,,1,
0,06AL6421,2012-02-03 20:30:54,,1,1,1,,1,
0,06VE809,2016-09-22 06:55:21,,1,1,1,,1,
0,06VE809,2004-07-20 15:12:46,,1,1,1,,1,
0,06VE809,1996-12-03 01:54:54,,1,1,1,,1,
0,06FVF80,1974-12-16 17:35:46,,1,1,1,,1,
0,06AL6421,2025-06-06 04:29:00,,1,1,1,,1,
0,06ZDK89,2011-10-06 14:06:08,,1,1,1,,1,
0,06AL6421,2033-11-12 01:59:19,,1,1,1,,1,
0,06AL6421,1990-05-22 16:35:08,,1,1,1,,1,
0,06ZDK89,2005-12-14 11:05:39,,1,1,1,,1,
0,06ZDK89,1994-08-07 17:22:59,,1,1,1,,1,
